cluster_id,observer,timestamp_broker,timestamp_utc,timestamp_local,bar_time,run_id,symbol,direction,level_kind,level_price,entry_price,stop_loss,take_profit,stop_distance_points,spread_points,risk_state,execution_state,server_time_status,reason_code,trade_permission,dry_run
WS001,breakout_retest,2026.05.22 11:25:01,2026.05.22 11:24:57,2026.05.22 15:24:57,2026.05.22 11:25:00,phase1-dry-run-v0.6,XAUUSD,SHORT,latest_swing_low,4514.67,4511.74,4516.09,4505.22,434.91,50.00,NORMAL,EXECUTION_OK,CLOCK_OK,BREAKOUT_RETEST_SHORT_DRY_RUN,false,true
WS002,swing_breakout_retest_v0,2026.05.22 11:25:01,2026.05.22 11:24:57,2026.05.22 15:24:57,2026.05.22 11:25:00,phase1-dry-run-v0.6,XAUUSD,SHORT,latest_swing_low,4514.67,4511.74,4516.09,4505.22,434.91,50.00,NORMAL,EXECUTION_OK,CLOCK_OK,SWING_BREAKOUT_RETEST_SHORT_DRY_RUN,false,true
WS003,breakout_retest,2026.05.22 11:50:01,2026.05.22 11:49:57,2026.05.22 15:49:57,2026.05.22 11:50:00,phase1-dry-run-v0.6,XAUUSD,LONG,latest_swing_high,4517.11,4522.94,4516.58,4532.47,635.57,50.00,NORMAL,EXECUTION_OK,CLOCK_OK,BREAKOUT_RETEST_LONG_DRY_RUN,false,true
WS004,swing_breakout_retest_v0,2026.05.22 11:50:01,2026.05.22 11:49:57,2026.05.22 15:49:57,2026.05.22 11:50:00,phase1-dry-run-v0.6,XAUUSD,LONG,latest_swing_high,4517.11,4522.94,4516.58,4532.47,635.57,50.00,NORMAL,EXECUTION_OK,CLOCK_OK,SWING_BREAKOUT_RETEST_LONG_DRY_RUN,false,true
WS005,breakout_retest,2026.05.22 12:45:00,2026.05.22 12:44:56,2026.05.22 16:44:56,2026.05.22 12:45:00,phase1-dry-run-v0.6,XAUUSD,LONG,latest_swing_high,4517.11,4518.58,4514.30,4525.01,428.49,75.00,NORMAL,EXECUTION_OK,CLOCK_OK,BREAKOUT_RETEST_LONG_DRY_RUN,false,true
WS006,swing_breakout_retest_v0,2026.05.22 12:45:00,2026.05.22 12:44:56,2026.05.22 16:44:56,2026.05.22 12:45:00,phase1-dry-run-v0.6,XAUUSD,LONG,latest_swing_high,4517.11,4518.58,4514.30,4525.01,428.49,75.00,NORMAL,EXECUTION_OK,CLOCK_OK,SWING_BREAKOUT_RETEST_LONG_DRY_RUN,false,true
WS007,breakout_retest,2026.05.22 12:50:00,2026.05.22 12:50:01,2026.05.22 16:50:01,2026.05.22 12:50:00,phase1-dry-run-v0.6,XAUUSD,LONG,latest_swing_high,4517.11,4519.58,4515.40,4525.85,417.78,50.00,NORMAL,EXECUTION_OK,CLOCK_OK,BREAKOUT_RETEST_LONG_DRY_RUN,false,true
WS008,swing_breakout_retest_v0,2026.05.22 12:50:00,2026.05.22 12:50:01,2026.05.22 16:50:01,2026.05.22 12:50:00,phase1-dry-run-v0.6,XAUUSD,LONG,latest_swing_high,4517.11,4519.58,4515.40,4525.85,417.78,50.00,NORMAL,EXECUTION_OK,CLOCK_OK,SWING_BREAKOUT_RETEST_LONG_DRY_RUN,false,true
WS009,breakout_retest,2026.05.22 14:05:00,2026.05.22 14:05:00,2026.05.22 18:05:00,2026.05.22 14:05:00,phase1-dry-run-v0.6,XAUUSD,SHORT,latest_swing_low,4514.87,4511.45,4517.35,4502.59,590.46,50.00,NORMAL,EXECUTION_OK,CLOCK_OK,BREAKOUT_RETEST_SHORT_DRY_RUN,false,true
WS010,swing_breakout_retest_v0,2026.05.22 14:05:00,2026.05.22 14:05:00,2026.05.22 18:05:00,2026.05.22 14:05:00,phase1-dry-run-v0.6,XAUUSD,SHORT,latest_swing_low,4514.87,4511.45,4517.35,4502.59,590.46,50.00,NORMAL,EXECUTION_OK,CLOCK_OK,SWING_BREAKOUT_RETEST_SHORT_DRY_RUN,false,true
