specialist_id,owned_regime,side,signal_time_utc,entry_time_utc,entry_delay_minutes,exit_time_utc,entry,stop,target,exit,entry_spread_pips,stop_pips,net_pips,r,stress_r,pnl_usd_001_lot,exit_reason
H4_CHOP_ASIA_LONDON_SHORT_CONTROL,chop,SHORT,2017-01-11 09:00:00+00:00,2017-01-11 10:00:00+00:00,0,2017-01-11 12:10:00+00:00,1.05351,1.0562614313551089,1.0500707108061138,1.0500807108061139,0.700000000000145,27.51431355108961,34.292891938860755,1.2463655280799364,1.2281931684798475,3.429289193886076,TARGET
H4_CHOP_ASIA_LONDON_SHORT_CONTROL,chop,SHORT,2017-01-16 08:00:00+00:00,2017-01-16 09:00:00+00:00,0,2017-01-16 20:55:00+00:00,1.0583,1.061686901022522,1.0540663737218476,1.0600100000000001,0.700000000000145,33.869010225219846,-17.100000000001003,-0.5048863219294152,-0.5196490798805669,-1.7100000000001003,TIME
H4_CHOP_ASIA_LONDON_SHORT_CONTROL,chop,SHORT,2017-01-20 09:00:00+00:00,2017-01-20 10:00:00+00:00,0,2017-01-20 15:10:00+00:00,1.0646099999999998,1.0677437817508622,1.060692772811422,1.0677537817508622,0.700000000000145,31.33781750862316,-31.437817508623844,-1.0031910326867264,-1.0191461961202493,-3.1437817508623844,STOP
H4_CHOP_ASIA_LONDON_SHORT_CONTROL,chop,SHORT,2017-01-24 09:00:00+00:00,2017-01-24 10:00:00+00:00,0,2017-01-24 15:00:00+00:00,1.07401,1.076815229339432,1.0705034633257098,1.076825229339432,0.700000000000145,28.05229339432021,-28.152293394321237,-1.0035647709296123,-1.0213886255774907,-2.8152293394321237,STOP
H4_CHOP_ASIA_LONDON_SHORT_CONTROL,chop,SHORT,2017-01-27 06:00:00+00:00,2017-01-27 07:00:00+00:00,0,2017-01-27 09:05:00+00:00,1.06645,1.0688311639312489,1.0634735450859387,1.068841163931249,0.700000000000145,23.81163931249004,-23.911639312490518,-1.0041996268584508,-1.0251977611506047,-2.391163931249052,STOP
H4_CHOP_ASIA_LONDON_SHORT_CONTROL,chop,SHORT,2017-01-30 07:00:00+00:00,2017-01-30 08:00:00+00:00,0,2017-01-30 11:45:00+00:00,1.07005,1.0723946010305978,1.0671192487117527,1.0671292487117527,0.700000000000145,23.446010305978557,29.20751288247203,1.2457348820248677,1.224409292149455,2.920751288247203,TARGET
H4_CHOP_ASIA_LONDON_SHORT_CONTROL,chop,SHORT,2017-02-01 06:00:00+00:00,2017-02-01 07:00:00+00:00,0,2017-02-01 12:10:00+00:00,1.07792,1.0804615779036841,1.0747430276203949,1.0804715779036842,0.700000000000145,25.415779036841432,-25.5157790368421,-1.003934563636854,-1.0236073818209916,-2.55157790368421,STOP
H4_CHOP_ASIA_LONDON_SHORT_CONTROL,chop,SHORT,2017-02-03 08:00:00+00:00,2017-02-03 09:00:00+00:00,0,2017-02-03 13:30:00+00:00,1.07439,1.0768596399348629,1.0713029500814213,1.076869639934863,0.700000000000145,24.696399348629527,-24.796399348629983,-1.004049173265657,-1.0242950395938488,-2.4796399348629983,STOP
H4_CHOP_ASIA_LONDON_SHORT_CONTROL,chop,SHORT,2017-02-06 06:00:00+00:00,2017-02-06 07:00:00+00:00,0,2017-02-06 10:05:00+00:00,1.0768,1.0790867074733352,1.0739416156583308,1.0739516156583309,0.700000000000145,22.867074733353224,28.48384341669119,1.245626900197493,1.2237614011850322,2.848384341669119,TARGET
H4_CHOP_ASIA_LONDON_SHORT_CONTROL,chop,SHORT,2017-02-21 08:00:00+00:00,2017-02-21 09:00:00+00:00,0,2017-02-21 10:00:00+00:00,1.05652,1.058347105501609,1.0542361181229885,1.0542461181229885,0.700000000000145,18.271055016091378,22.738818770113856,1.2445268623014765,1.2171611738089594,2.2738818770113856,TARGET
